"","...1","artist","type","lvar","lave","lmax","lfener","lfreq"
"1","Dancing Queen","Abba","Rock",17600755.6,-90.0068667,29921,105.92095,59.57379
"2","Knowing Me","Abba","Rock",9543020.9,-75.7667187,27626,102.83616,58.48031
"3","Take a Chance","Abba","Rock",9049481.5,-98.0629244,26372,102.32488,124.59397
"4","Mamma Mia","Abba","Rock",7557437.3,-90.4710616,28898,101.61648,48.76513
"5","Lay All You","Abba","Rock",6282285.6,-88.9526309,27940,100.30076,74.02039
"6","Super Trouper","Abba","Rock",4665866.7,-69.020845,25531,100.24848,81.4014
"7","I Have A Dream","Abba","Rock",3369670.3,-71.6828788,14699,104.59686,305.18689
"8","The Winner","Abba","Rock",1135862,-67.8190467,8928,104.34921,277.66056
"9","Money","Abba","Rock",6146942.6,-76.28075,22962,102.24066,165.15799
"10","SOS","Abba","Rock",3482881.8,-74.1300038,15517,104.36243,146.737
"11","All in a Days Work","Eels","Rock",40275677.4,-10.6893416,32759,106.07617,65.48281
"12","Saturday Morning","Eels","Rock",129472199.3,50.2115773,32759,114.00229,41.40515
"13","The Good Old Days","Eels","Rock",18838849,-0.0222764,30386,105.45611,165.2421
"14","Love of the Loveless","Eels","Rock",43201194.3,1.8926897,32759,108.37835,174.64185
"15","Girl","Eels","Rock",88547131,0.3358761,32744,112.00916,392.28702
"16","Agony","Eels","Rock",16285811.4,-0.1405876,30106,103.94171,312.06322
"17","Rock Hard Times","Eels","Rock",54651552.8,1.9848514,32759,108.87503,312.37864
"18","Restraining","Eels","Rock",12322434.4,1.025979,23221,103.29906,185.59771
"19","Lone Wolf","Eels","Rock",63878899.8,3.3592505,32759,109.53291,66.13469
"20","Wrong About Bobby","Eels","Rock",43668186.9,-2.0125667,32759,108.35559,98.83404
"21","Love Me Do","Beatles","Rock",28806811.2,-5.7452189,24159,109.95808,126.50757
"22","I Want to Hold Your Hand","Beatles","Rock",61257693.6,-6.0340682,28502,111.81813,294.67263
"23","Cant Buy Me Love","Beatles","Rock",76729438,-5.9583971,30102,112.71792,100.20089
"24","I Feel Fine","Beatles","Rock",52497242.7,-5.7314591,29911,110.66333,110.39972
"25","Ticket to Ride","Beatles","Rock",68104547,-6.1449114,30415,111.59957,107.30853
"26","Help","Beatles","Rock",52569372.5,-5.7166301,32318,110.34618,137.10594
"27","Yesterday","Beatles","Rock",23080907.6,-6.0298337,28169,107.30541,173.50631
"28","Yellow Submarine","Beatles","Rock",39908667.5,-6.2616915,29061,109.47442,91.49508
"29","Eleanor Rigby","Beatles","Rock",18819753.2,-6.1265193,21680,108.65894,164.92667
"30","Penny Lane","Beatles","Rock",58614798.7,-5.9971242,31131,111.18901,92.4624
"31","The Memory of Trees","Enya","New wave",1135493.1,-10.6183398,9994,102.16132,155.0643
"32","Anywhere Is","Enya","New wave",12230252.2,-17.83727,24968,105.75748,79.31957
"33","Pax Deorum","Enya","New wave",1723627.9,-6.8327065,13227,101.86845,49.01748
"34","Waterloo","Abba","Rock",24898675.9,-93.9961871,29830,107.73299,146.04306
"35","Hey Jude","Beatles","Rock",8651854.1,-6.1322408,18509,83.88195,219.53773
